بی حال و سست	کسل
افسردگی	جمود
از لبنیات	سرشیر
کشور شکار	کنیا
زشت تر	انکر
ناپاک و آلوده	نجس
خاموش و بی صدا	صامت
ستایش کردن	ستودن
مخفف دیگر	دگر
شكوه	تهبا
از رودهای ایران	سیمینهرود
درست کردن	اصلاح
وصله	پ ین ه
مرطوب و نمدار	نمدیده
استوار	ستوار
waterfall	ابشار
فیلمی از شهریار بحرانی	ملکسلیمان
خم کوچک	دن
پایتخت کشور اتریش	وین
غلبه کردن	جب
خنده از روی‌ تمسخر	ریشخند
تیره و کدر	تار
سفید آذری	اق
خواندن قرآن با صوت	تلاوت
از اناجیل معتبر	متی
روکار ساختمان، ظاهر عمارت	نما
نامبارکی	نحوست
زرنگ و باهوش	زیرک
شتاب	عجله
حصیر	بوریا
lip	لب
زراعت‌ کردن	کاشتن
از عناصر رادیواکتیو	رادیوم
معادل فارسی فاکس	دورنگار
حالتی از ماده	جامد
478	یبوست
آگاه کننده	مخبر
pottage	اش
کاسب	مغازهدار
مغایرت و اختلاف	دوگانگی
تیم فوتبال  اشتورم گراتس در این شهر قرار دارد	گراتس
ورزش مفرح زمستانی	اسکی
بدون امنیت	ناامن
فلز سرخ 	مس
نشیمنگاه خانه	اتاق
دانا و باخرد	فرهمند
محصول آتش	دود
مهرو موم	پلمب
فقیر	تنگدست
شریف و عفیف	ابرومند
نقش‌دار و نگاشته	منقوش
چوپان	شبان
بیهوده و یاوه	هرز
از القاب مبارک امام زمان(عج)	صاحبالزمان
year	سال
بحران و درگیری	تنش
نوعی بالش نرم	نازبالش
دنباله	ینگه
مزدور	اجیر
بخشش کردن	اعطا
از فرآورده‌های گوشتی	کالباس
کاغذ کپی	کاربن
نیازمند شدن	اقوا
یکی از آثار تاریخی تهران	کاخمرمر
اثری از آلبر کامو	مرگخوش
آن که رنگ چهره اش تیره باشد	سیهچرده
خدمه هواپیما	مهماندار
از آبشارهای استان چهارمحال و بختیاری	کردویکن
از شهرهای یونان	پاتراس
کلام انزجار	اف
جوشن چرمین	یلب
چهره ای زیبا دارد	پریرخ
نام قدیم ساوه	ساوک
ته چک	سوش
فرود آمدن	هبوط
باوقار و سنگین	وزین
روز بعد عروسی	پاتختی
تخم کتان	بزرک
نوعی ماهی کنسروی	کیلکا
ندرت و کمی	کمیابی
غلام	وشاق
ملایم تر و نرم تر	ارخم
بی آبرو	رسوا
نان محلی کردستان	کلانه
زوج ها	ازواج
شماره خانه	پلاک
درختي در جهنم	زقوم
ناخوش احوال	بیمار
وصله	پینه
داین درهم	ون
زره زیر کلاه خود	مغفر
پاینده	مستدام
قرمز تیره	البالویی
غیر حرفه ای	اماتور
آهوي کارتوني	بامبی
کارش دوزندگی است	خیاط
امتداد	راستا
فیلسوف یونانی قرن 3	اخت
دانه های نباتات	حبوب
برتر از گوهر آمد پدید	هنر
فیلمی از احمدرضا معتمدی	الزایمر
قوس قزح	نوس
سِر نگه دار	رازدار
شتر تندرو	هیون
از مناطق گرانادا در اسپانیا	ا در ا
سوره ای در قرآن	جن
1001	اخت
زینهار	امان
از اعیاد مسلمانان	عیدقربان
Ski	اسکی
بازیگر مرد فیلم ماجان	اصلانی
خاندان پیغمبر	عترت
نوعی سس	کچاپ
مبتنی بر اصل و پایه	اساسی
کشوری اروپایی	اوکراین
بله انگلیسی	یس
متال	فلز
از جنس فلز پر مصرف	اهنی
مخترع و متکبر	سازنده
از شرکت های بازرگانی یا تولیدی	سهامی
قبیح تر و زشت تر	اقبح
سالی که در آنیم	امسال
فیلم روبرت کشیشیان	ارام
همنشین انس	جن
تیر چوبی بزرگ سقف	بالار
بی مانند	یگانه
ا ن ب ر	ربنا
از وسایل بازی بچه ها	بادبادک
مَشک و کیسه چرمی	خی
از خدایان باستان	رع
دسته و صنف	جنس
قطع کردن	بریدن
خبر خوش	مژده
جذام	ابرص
درخت انگور	تاک
آبادی و روستا	دهکده
جانور درختی آمریکایی	ساریگ
رختشوی	گازر
دلتنگ	ملول
بهای نامه	تمبر
تکنوکراتیک	فنسالارانه
نگهداری نفس از گناه و خطا	عصمت
پرسه و هرزه گردی	ولگردی
از نقاشان هلندی	ونگوگ
از آثار تاريخي استان ايلام	قلعهکلم
پایتخت اندونزی	جاکارتا
نماد روسیاهی	دیگ
واژه ای انگلیسی برای ابراز موافقت	اکی
روستایی از توابع بخش مرکزی شهرستان رامیان در استان گلستان	ویرو
مرغ حق	چوک
دوران گذشته	قدیم
آواز بلبل	فتل
عنصر فلزی کمیاب و نرم	تالیم
از وسایل سفره غذا	کفگیر
Nose	دماغ
شیر درنده	هرماس
تکه و پاره	لت
خوردنی تابستان	بستنی
همراه ناز	ادا
محکم و استوار	اکید
یکی از چهار جهت اصلی	جنوب
یاران	دوستان
محو کردن	امحا
قصه گویی	نقالی
بالای مجلس	صدر
مرکز ایالت ویرجینیا	ریچموند
متحیر	حیرتزده
آزمایشگاه	لابراتوار
رشوه خواری	ارتشا
درختی در جنگل های شمال	اسوندار
در توضیح کلام استفاده می‌شود	یعنی
ساز چنگ	هارپ
پسر کوچک فریدون در شاهنامه	ایرج
پر و سرشار	لبریز
به تنهایی	منفرد
کم و بیش	تقریبا
ادوات جنگ	سازوبرگ
فیلمی با بازی شبنم مقدمی	خجالتنکش
قلعه بالاي كوه	تالک
شهر تاج محل	اگرا
به جا آوردن عهد	وفا
خانه و منزل	مسکن
شمع و چراغ	قندیل
انجمن علمی	انستیتو
زن باردار	ابستن
نوعی پارچه	کنف
از خوانندگان موسیقی پاپ	مهیارکاووسی
نام مبارک مادر حضرت ابوالفضل (ع)	امالبنین
رخساره	رخ
آلبومی از علیرضا افتخاری	اوایعشق
لاغر	اسعر
ناسزا	خنی
نوعی آش	اشماست
آلبومی از شهرام ناظری	دلشیدا
اجداد	نیاکان
با خبر	اگاه
ترجمه شده	برگردان
ضمیر متصل پیوسته	تان
خدمتکار پیر	دادا
رودخانه ای در استان فارس	کر
بخشی از مغز	تالاموس
از گلهای زیبا	بنفشه
اثري از آندره مالرو	روزهایخشم
فدراسیون جهانی بوکس	ایبا
علم وظایف دستگاه های بدن جانداران	فیزیولوژی
ماه اعتکاف	رجب
دو تن که به ‌یک اندازه عمر کرده باشند	همسن
سرزمین‌ها	اقالیم
پوئیدن امری	پو
یار قاشق	چنگال
رودی در ساری	تجن
درخواست عاجزانه	التماس
سخت نیست	اسان
حدید	اهن
گاز استخر	کلر
غله آرد کن	اسیابان
مهاجم اسبق رم	توتی
عضوی در صورت	دهان
رشد و رویش	نمو
اداره ای در دادگستری	دادسرا
نگهداری دام	دامپروری
غیرشفاف	کدر
داخل	وت
اطوار	ادا
So much	چندان
340	نصر
فرآیند ساییدن	سایش
جزیی از فعل	شناسه
نوعی پارچه	رومی
از ادات استفهام	چرا
تقلبی	بدلی
سلسله‌ای در تاریخ ایران	هخامنشیان
فرصت	مهلت
معروف	اسمی
پسر اردشیر درازدست	دارا
آسمان‌ها	سماوات
جمع موج	امواج
شهری در سوریه	حلب
فیلمی در ژانر جنایی به کارگردانی سیدنی لومت	هجوم
اکسیر	کیمیا
صفحه هدف گیرى	سیبل
قتل عام	کشتار
از توابع سقز	دالو
شهری در استان خراسان رضوی	رشتخوار
از آثار تاریخی یزد	مدرسهدومنار
زگيل	واروک
از گل های معطر	میخک
ترومتر	دماسنج
تکرار حرف	زز
دوست بد	نارفیق
میان تهی	اجوف
شهری در استان خراسان رضوی	تربتحیدریه
زمانه	روزگار
جواز	پته
مرکز خلافت حضرت علی(ع)	کوفه
از ماه‌های سال میلادی	فوریه
آلبومی از افتخاری	تومیایی
مصون و محفوظ	ایمن
نیش عقرب و زنبور	ابره
ورقه هویت	سجل
امتزاج آب با جسمی	هیدرات
نفوذ کامپیوتری	هک
ساخته شده از نی	نیی
واحد وزن قدیمی معادل 12 کیلوگرم	ری
پرنده مقلد	کبک
زینت رو	موی
استخوان های پشت	صلب
ناموس و شرف	ابرو
2	احاد
سرازیری	نشیب
از عناصر جدول تناوبی	کادمیم
دختر ترکی	قز
روزنامه ژاپنی	اساهی
از القاب اروپایی	دوشس
فرمانبردار و مطیع	امربر
ارتقا و ترقی	پیشرفت
زادگاه ابراهیم(ع)	اور
نوه اردشیر بابکان	نرسی
از ضمایر عربی	هو
نفس به سبک خسته دلان!	هن
محافظت	نگهداری
از صور فلکی	دباکبر
یار منیژه	بیژن
آسودگی	استراحت
شهری در کهگیلویه و بویراحمد	گچساران
ماموت بی انتها	مامو
فعال و با جدیت	کاری
تعجب	اندی
از بازیگران مرد فیلم ویلایی ‌ها	صابرابر
استخوان ترقوه	اخورک
طایفه بیابان‌گرد	کولی
کشیدنی در خواب!	خرناس
شفاف تر	ارق
حسن جمال	زیبایی
پارچه کهنه	لته
سراپرده	تتق
شراره آتش	اخگر
آشنا	شناس
شاعر قرن 9هجری	هراتی
ضد و مخالف	نقیض
مدرن	امروزی
مبارک و خجسته	همایون
مادر ترک	انا
راهنما	مرشد
sir	اقا
مرغ سلیمان	هدهد
پیاپی	مستمر
مقابل رویه	استر
تپیدن	تپش
بازپس	عقبمانده
همبازی پت	مت
شجاع	جنگجو
برف و باد	کولاک
دلیر	شجاع
شهری در استان خوزستان	لالی
پوشاک سر	کلاه
دختر حضرت آدم(ع)	اقلیمیا
کسانی که از اولاد امام علی (ع ) باشند	علوی
نام‌قدیم شهر ایذه	مالامیر
کیسه شکارچی	توبره
چلیپا	خاج
زیاد و افزون	بیش
برج فرانسه	نل
پشت سر هم	یکریز
سرپرستی	تصدی
پسر	پور
دریاچه‌ای در کانادا	دوبانت
نام کارنگی فیلسوف بزرگ	دیل
فرآورده لبنی	کره
آشکار کردن	اجهار
وسیله آزمایشگاهی	پیپت
استوار شدن	استحکام
پرز	خاو
دوست داشتن	ود
باغ شیراز	ارم
توضيح ندارد	گد
غیر خالص	ناسره
سازمان آزادی بخش فلسطین	ساف
واحدی برای اندازه گیری مسافت ، تقریباً شش کیلومتر	فرسنگ
شنیدن	سماع
از هفت‌سین نوروزی	سنجد
شراره آتش	سینجر
محترم و معظم	گرانقدر
نهر	رود
حیرت انگیز	شگفت
خیال انگیز	رویایی
پاسخ محکم و دندان شکن	تودهنی
